2022-05-03 00:01:26,592 INFO leader timeout, start voting,leader: {"heartbeatDueMs":5000,"ip":"192.168.0.103:8848","leaderDueMs":15002,"state":"FOLLOWER","term":0,"voteFor":""}, term: 0

2022-05-03 00:01:26,592 INFO leader timeout, start voting,leader: {"heartbeatDueMs":5000,"ip":"192.168.0.103:8848","leaderDueMs":19392,"state":"CANDIDATE","term":1,"voteFor":"192.168.0.103:8848"}, term: 1

2022-05-03 00:01:26,592 INFO leader timeout, start voting,leader: {"heartbeatDueMs":5000,"ip":"192.168.0.103:8848","leaderDueMs":16637,"state":"CANDIDATE","term":2,"voteFor":"192.168.0.103:8848"}, term: 2

2022-05-03 00:01:26,592 INFO leader timeout, start voting,leader: {"heartbeatDueMs":5000,"ip":"192.168.0.103:8848","leaderDueMs":18290,"state":"CANDIDATE","term":3,"voteFor":"192.168.0.103:8848"}, term: 3

2022-05-03 00:01:26,592 INFO leader timeout, start voting,leader: {"heartbeatDueMs":5000,"ip":"192.168.0.103:8848","leaderDueMs":15211,"state":"CANDIDATE","term":4,"voteFor":"192.168.0.103:8848"}, term: 4

2022-05-03 00:01:26,592 INFO leader timeout, start voting,leader: {"heartbeatDueMs":5000,"ip":"192.168.0.103:8848","leaderDueMs":17100,"state":"CANDIDATE","term":5,"voteFor":"192.168.0.103:8848"}, term: 5

2022-05-03 00:01:26,592 INFO leader timeout, start voting,leader: {"heartbeatDueMs":5000,"ip":"192.168.0.103:8848","leaderDueMs":16943,"state":"CANDIDATE","term":6,"voteFor":"192.168.0.103:8848"}, term: 6

2022-05-03 00:01:26,592 INFO leader timeout, start voting,leader: {"heartbeatDueMs":5000,"ip":"192.168.0.103:8848","leaderDueMs":15767,"state":"CANDIDATE","term":7,"voteFor":"192.168.0.103:8848"}, term: 7

2022-05-03 00:01:26,592 INFO leader timeout, start voting,leader: {"heartbeatDueMs":5000,"ip":"192.168.0.103:8848","leaderDueMs":15434,"state":"CANDIDATE","term":8,"voteFor":"192.168.0.103:8848"}, term: 8

2022-05-03 00:01:26,592 INFO leader timeout, start voting,leader: {"heartbeatDueMs":5000,"ip":"192.168.0.103:8848","leaderDueMs":19006,"state":"CANDIDATE","term":9,"voteFor":"192.168.0.103:8848"}, term: 9

2022-05-03 00:01:26,592 INFO leader timeout, start voting,leader: {"heartbeatDueMs":5000,"ip":"192.168.0.103:8848","leaderDueMs":19198,"state":"CANDIDATE","term":10,"voteFor":"192.168.0.103:8848"}, term: 10

2022-05-03 00:01:26,592 INFO leader timeout, start voting,leader: {"heartbeatDueMs":5000,"ip":"192.168.0.103:8848","leaderDueMs":18060,"state":"CANDIDATE","term":11,"voteFor":"192.168.0.103:8848"}, term: 11

2022-05-03 00:01:26,592 INFO leader timeout, start voting,leader: {"heartbeatDueMs":5000,"ip":"192.168.0.103:8848","leaderDueMs":19415,"state":"CANDIDATE","term":12,"voteFor":"192.168.0.103:8848"}, term: 12

2022-05-03 00:01:26,592 INFO leader timeout, start voting,leader: {"heartbeatDueMs":5000,"ip":"192.168.0.103:8848","leaderDueMs":15113,"state":"CANDIDATE","term":13,"voteFor":"192.168.0.103:8848"}, term: 13

2022-05-03 00:01:26,592 INFO leader timeout, start voting,leader: {"heartbeatDueMs":5000,"ip":"192.168.0.103:8848","leaderDueMs":17385,"state":"CANDIDATE","term":14,"voteFor":"192.168.0.103:8848"}, term: 14

2022-05-03 00:01:26,592 INFO leader timeout, start voting,leader: {"heartbeatDueMs":5000,"ip":"192.168.0.103:8848","leaderDueMs":19243,"state":"CANDIDATE","term":15,"voteFor":"192.168.0.103:8848"}, term: 15

2022-05-03 00:01:26,592 INFO leader timeout, start voting,leader: {"heartbeatDueMs":5000,"ip":"192.168.0.103:8848","leaderDueMs":16139,"state":"CANDIDATE","term":16,"voteFor":"192.168.0.103:8848"}, term: 16

